task,run_time,acceptance_rate
gaussian_linear,1049.238018578,0.13933333333333334
gaussian_linear_uniform,1040.553446005,0.4023333333333333
gaussian_mixture,621.533106279,0.5166666666666667
sir,7947.246769547,0.5633333333333334
bernoulli_glm,1095.160105085,0.193
