n_sum_stats,rula_time_per_step,rwm_time_per_step
10,0.25198400394666665,0.00036479705333333334
20,0.38306001700666664,0.0013018399633333332
30,0.5879582813399999,0.0014077681266666667
40,0.6796760316433335,0.008100872903333332
50,0.8342164082966668,0.013664251079999998
