task,no_kde_c2st,kde_c2st
gaussian_linear,0.5105000138282776,0.5755000114440918
gaussian_linear_uniform,0.49799999594688416,0.6546666622161865
gaussian_mixture,0.5115000009536743,0.5668333172798157
bernoulli_glm,0.500333309173584,0.6536666750907898
sir,0.5136666893959045,0.5210000276565552
